id,title,tg
11329,出售大型博彩客户数据，2018年1月会员数据， - 暗网交易市场,xiaotgmail;私密会话发起方:[xiaotgmail];xiaotgmail;联系 xiaotgmail;xiaotgmail
21872,无需加好友获取同行qq或者微列表 - 暗网交易市场,不管qq还是微信一单都是2500，拍下留下你的tg号，这边会联系您
15296,网络贷的数据。 - 暗网交易市场,tgy123456;私密会话发起方:[tgy123456];tgy123456;联系 tgy123456;tgy123456
17541,11个菠菜综合盘数据，打包出售，共30万条左右，10月份出库 - 暗网交易市场,73567tg10.com  1435条   格式  账号手机  ;75353a.com  1841条   格式  账号手机  ;9121902.com  39372条   格式  账号手机  ;alpk11.com  5881条   格式  账号手机  ;dc579.com  3281条   格式  账号手机  ;ffvip9006.com 27838条   格式  账号手机  ;k6838.com  5007条   格式  账号手机  ;love102.com  19369条   格式  账号手机  ;wt6699.com  7455条   格式  账号手机  ;99570.com  7.3万  格式 账号  手机  姓名  地区 IP  日期   此站因被脱后重新改站，可能会打不开，数据是真实的。;www.wanyi777.com  11万6  格式 账号 姓名 邮箱 手机;打包出售
9184,来自某社工群的数据库 - 暗网交易市场,来自tg某社工群内的数据库;包含各类数据，总文件解压前大小15GB;具体内容请察看目录;随时可拍，拍下后自动发送下载链接
9130,【低价】完爆华住，旅馆信息系统sql拿库 - 暗网交易市场,国内旅馆业信息管理系统后台高危漏洞，测试过可以上传，胆子大和有兴趣玩的下单后留言tg或邮箱，会玩的绝逼稳赚，任何渠道一起卖够10次马上下架，先到先吃肉，真心的来！记者和套路狗勿扰（钓鱼的死全家，本人现情况特殊不敢自己搞）
